Classifier,Train Accuracy,Test Accuracy,Train AUC,Test AUC
Random Forest,0.796875,0.75,0.8603515625,0.8515625
Gradient Boosting,1.0,0.625,1.0,0.6640625
Support Vector Classifier,0.625,0.875,0.68212890625,0.90625
Neural Network,0.640625,0.8125,0.6875,0.890625
