Model,Best Params,Avg Validation Accuracy,Avg Validation AUC
LogisticRegression,"{'C': 46.41588833612773, 'max_iter': 200, 'solver': 'newton-cg'}",0.7625,0.7673015873015874
RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 500}",0.7,0.7185714285714286
GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 1000}",0.6625,0.622857142857143
SVC,"{'C': 100, 'gamma': 'scale', 'probability': True}",0.7625,0.7641269841269842
MLPClassifier,"{'alpha': 0.1, 'hidden_layer_sizes': (30,), 'max_iter': 2000}",0.675,0.7052380952380953
